nome,sobrenome,cpf,data,numero_voo,assento,classe,valor,origem,destino
Ana,Barbosa,259.289.304-39,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Ana,Ribeiro,133.243.841-79,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Ana,Souza,660.689.675-96,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Ana,Santos,724.736.828-79,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Ana,Gomes,174.233.706-54,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Ana,Martins,792.124.377-49,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Ana,Araujo,274.490.713-42,12/12/2024,V001,G15,econômica,3341.23,CGH,RAO
Ana,Lima,136.606.111-69,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Ana,Dias,409.749.582-93,12/12/2024,V001,G17,econômica,3341.23,CGH,RAO
Ana,Ribeiro,648.664.898-15,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Ana,Freitas,937.795.329-12,12/12/2024,V001,G11,econômica,3341.23,CGH,RAO
Ana,Oliveira,465.200.696-87,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
Ana,Araujo,373.362.335-48,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Ana,Santos,386.904.192-54,12/12/2024,V001,G10,econômica,3341.23,CGH,RAO
Ana,Martins,852.795.780-46,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Ana,Martins,619.930.671-68,12/12/2024,V001,G10,executiva,8542.12,CGH,RAO
Ana,Oliveira,276.641.857-33,12/12/2024,V001,G18,executiva,8542.12,CGH,RAO
Ana,Carvalho,874.851.524-43,12/12/2024,V001,G14,executiva,8542.12,CGH,RAO
Ana,Freitas,461.611.639-43,12/12/2024,V001,G14,executiva,8542.12,CGH,RAO
Ana,Araujo,439.974.206-23,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Ana,Martins,986.520.180-14,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Beatriz,Costa,202.586.629-55,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Beatriz,Oliveira,717.677.116-94,12/12/2024,V001,G15,econômica,3341.23,CGH,RAO
Beatriz,Rodrigues,294.165.708-23,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Beatriz,Pereira,529.700.623-61,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Beatriz,Araujo,120.869.263-10,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Beatriz,Fernandes,817.916.978-11,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Beatriz,Carvalho,771.482.103-51,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Beatriz,Santos,192.979.526-78,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Beatriz,Oliveira,785.828.676-90,12/12/2024,V001,G15,executiva,8542.12,CGH,RAO
Beatriz,Pereira,255.582.466-54,12/12/2024,V001,G17,executiva,8542.12,CGH,RAO
Beatriz,Carvalho,698.778.357-87,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Bruna,Silva,488.711.821-35,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Bruna,Dias,951.166.611-62,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Bruna,Oliveira,906.830.386-55,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Bruna,Pereira,659.183.563-68,12/12/2024,V001,G15,econômica,3341.23,CGH,RAO
Bruna,Souza,723.439.109-10,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Bruna,Melo,324.973.657-56,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Bruna,Rocha,364.553.705-13,12/12/2024,V001,G11,executiva,8542.12,CGH,RAO
Bruna,Ribeiro,841.109.353-35,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Bruna,Barbosa,636.764.307-16,12/12/2024,V001,G19,executiva,8542.12,CGH,RAO
Bruna,Almeida,369.889.119-54,12/12/2024,V001,G19,executiva,8542.12,CGH,RAO
Bruna,Almeida,606.522.764-73,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Bruna,Rodrigues,577.689.990-63,12/12/2024,V001,G10,executiva,8542.12,CGH,RAO
Camila,Martins,146.838.209-42,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Camila,Carvalho,314.878.858-31,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Camila,Souza,436.671.129-87,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Camila,Almeida,670.384.482-26,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Camila,Souza,159.441.617-52,12/12/2024,V001,G19,econômica,3341.23,CGH,RAO
Camila,Oliveira,308.251.860-83,12/12/2024,V001,G17,econômica,3341.23,CGH,RAO
Camila,Oliveira,178.638.563-59,12/12/2024,V001,G13,econômica,3341.23,CGH,RAO
Camila,Pereira,957.864.911-56,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Camila,Pereira,425.581.904-41,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Camila,Rodrigues,952.234.153-89,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Camila,Pereira,436.468.330-43,12/12/2024,V001,G15,econômica,3341.23,CGH,RAO
Camila,Pereira,373.534.862-59,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Camila,Almeida,584.884.242-69,12/12/2024,V001,G11,econômica,3341.23,CGH,RAO
Camila,Rodrigues,864.185.660-94,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Camila,Carvalho,609.566.285-22,12/12/2024,V001,G18,econômica,3341.23,CGH,RAO
Camila,Ribeiro,379.197.265-36,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Camila,Araujo,246.183.403-23,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Camila,Ribeiro,934.521.539-89,12/12/2024,V001,G10,executiva,8542.12,CGH,RAO
Camila,Lima,894.606.778-40,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Camila,Ribeiro,830.717.609-13,12/12/2024,V001,G12,executiva,8542.12,CGH,RAO
Camila,Lima,477.131.371-85,12/12/2024,V001,G10,executiva,8542.12,CGH,RAO
Camila,Araujo,106.960.312-71,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Camila,Barbosa,393.427.204-36,12/12/2024,V001,G10,executiva,8542.12,CGH,RAO
Camila,Pereira,134.571.555-72,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Camila,Almeida,751.597.441-75,12/12/2024,V001,G16,executiva,8542.12,CGH,RAO
Camila,Gomes,361.211.952-33,12/12/2024,V001,G12,executiva,8542.12,CGH,RAO
Camila,Melo,498.637.271-36,12/12/2024,V001,G20,executiva,8542.12,CGH,RAO
Carlos,Carvalho,832.246.324-19,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Carlos,Dias,325.882.712-97,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Carlos,Pereira,313.334.637-10,12/12/2024,V001,G20,econômica,3341.23,CGH,RAO
Carlos,Pereira,482.101.114-30,12/12/2024,V001,G16,econômica,3341.23,CGH,RAO
Carlos,Lima,515.274.274-58,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Carlos,Dias,452.171.883-88,12/12/2024,V001,G14,econômica,3341.23,CGH,RAO
Carlos,Almeida,890.109.666-26,12/12/2024,V001,G12,econômica,3341.23,CGH,RAO
Carlos,Rocha,504.353.620-29,12/12/2024,V001,G13,executiva,8542.12,CGH,RAO
Carlos,Carvalho,144.479.621-80,12/12/2024,V001,G18,executiva,8542.12,CGH,RAO
Carlos,Freitas,383.338.670-88,12/12/2024,V001,G18,executiva,8542.12,CGH,RAO
Carlos,Ribeiro,489.824.950-13,12/12/2024,V001,G14,executiva,8542.12,CGH,RAO
